시간	무게	무게 변화	포트	로그	상태
15_17_48_666	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	536	f
15_17_48_712	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	f
15_17_48_715	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_48_734	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_48_772	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	f
15_17_48_774	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	537	f
15_17_48_800	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_48_802	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_48_883	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_48_925	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	f
15_17_48_930	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_48_932	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_48_992	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_48_995	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_49_020	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_49_022	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_49_104	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_49_107	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_49_140	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_49_144	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_49_213	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_49_216	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	539	f
15_17_49_254	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_49_257	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	547	f
15_17_49_322	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	539	f
15_17_49_347	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_49_374	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	547	f
15_17_49_377	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_49_430	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_49_434	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_49_473	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_49_477	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_49_538	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_49_543	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_49_580	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_49_583	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_49_646	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_49_650	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_49_691	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	406	f
15_17_49_694	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_49_756	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_49_791	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_49_813	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	406	f
15_17_49_816	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_49_864	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_49_867	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_49_914	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_49_943	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	406	f
15_17_49_972	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_49_975	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_50_027	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_50_051	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_50_083	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_50_087	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	539	f
15_17_50_136	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_50_159	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_50_193	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_50_197	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_50_247	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_50_280	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_50_313	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_50_316	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	537	f
15_17_50_362	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	408	f
15_17_50_394	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_50_425	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	537	f
15_17_50_428	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_50_474	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_50_503	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_50_526	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_50_530	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	537	f
15_17_50_581	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_50_607	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_50_633	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_50_637	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_50_693	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_50_713	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_50_735	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_50_740	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_50_799	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_50_845	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_50_886	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	538	f
15_17_50_890	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	422	f
15_17_50_934	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_50_947	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	546	f
15_17_50_972	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	f
15_17_51_000	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	537	f
15_17_51_023	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	407	f
15_17_51_043	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	545	f
15_17_51_080	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	f
15_17_51_085	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	537	f
